0 5 8 9 2.37697
0 5 8 10 2.389
0 5 8 11 2.28709
0 5 8 12 2.28446
0 5 8 13 2.28446
0 5 8 14 2.389
0 5 9 10 2.50881
0 5 9 11 2.51151
0 5 9 12 2.50713
0 5 9 13 2.50713
0 5 9 14 2.54598
0 5 10 11 2.44831
0 5 10 12 2.389
0 5 10 13 2.389
0 5 10 14 2.51534
0 5 11 12 2.39046
0 5 11 13 2.39046
0 5 11 14 2.49313
0 5 12 13 2.44949
0 5 12 14 2.43521
0 5 13 14 2.43521
0 6 7 8 2.1391
0 6 7 9 2.39792
0 6 7 10 2.23607
0 6 7 11 2.35855
0 6 7 12 2.27798
0 6 7 13 2.27798
0 6 7 14 2.34521
0 6 8 9 2.7314
0 6 8 10 2.71163
0 6 8 11 2.68408
0 6 8 12 2.65417
0 6 8 13 2.65417
0 6 8 14 2.72172
0 6 9 10 2.79903
0 6 9 11 2.82373
0 6 9 12 2.77833
0 6 9 13 2.77833
0 6 9 14 2.84346
0 6 10 11 2.75936
0 6 10 12 2.71163
0 6 10 13 2.71163
0 6 10 14 2.79903
0 6 11 12 2.74064
0 6 11 13 2.74064
0 6 11 14 2.80938
0 6 12 13 2.71341
0 6 12 14 2.76353
0 6 13 14 2.76353
0 7 8 9 2.1557
0 7 8 10 2.1391
0 7 8 11 2.09069
0 7 8 12 2.16025
0 7 8 13 2.16025
0 7 8 14 2.1557
0 7 9 10 2.24695
0 7 9 11 2.35855
0 7 9 12 2.28841
0 7 9 13 2.28841
0 7 9 14 2.34284
0 7 10 11 2.21037
0 7 10 12 2.1391
0 7 10 13 2.1391
0 7 10 14 2.25726
0 7 11 12 2.2563
0 7 11 13 2.2563
0 7 11 14 2.31349
0 7 12 13 2.20678
0 7 12 14 2.24812
0 7 13 14 2.24812
0 8 9 10 2.72172
0 8 9 11 2.68408
0 8 9 12 2.67706
0 8 9 13 2.67706
0 8 9 14 2.7338
0 8 10 11 2.66231
0 8 10 12 2.65417
0 8 10 13 2.65417
0 8 10 14 2.7314
0 8 11 12 2.64575
0 8 11 13 2.64575
0 8 11 14 2.67435
0 8 12 13 2.63923
0 8 12 14 2.67706
0 8 13 14 2.67706
0 9 10 11 2.75936
0 9 10 12 2.72172
0 9 10 13 2.72172
0 9 10 14 2.79933
0 9 11 12 2.74064
0 9 11 13 2.74064
0 9 11 14 2.80938
0 9 12 13 2.736
0 9 12 14 2.76677
0 9 13 14 2.76677
0 10 11 12 2.66231
0 10 11 13 2.66231
0 10 11 14 2.75936
0 10 12 13 2.65417
